helyseg;iranyitoszam
Szarvasgede;3051
Szarvaskend;9913
Szarvaskő;3323
Szatmárcseke;4945
Szatta;9938
Szatymaz;6763
Szava;7813
Szebény;7725
Szederkény;7751
Szedres;7056
Szeged;6700
Szeged;6710
Szeged;6720
Szeged;6721
Szeged;6722
Szeged;6723
Szeged;6724
Szeged;6725
Szeged;6726
Szeged;6727
Szeged;6728
Szeged;6729
Szeged;6753
Szeged;6757
Szeged;6771
Szeged;6791
Szegerdő;8732
Szeghalom;5520
Szegi;3918
Szegilong;3918
Szegvár;6635
Szekszárd;7100
Szeleste;9622
Szelevény;5476
Szellő;7661
Szemely;7763
Szemenye;9685
Szemere;3866
Szendehely;2640
Szendrő;3752
Szendrőlád;3751
Szenna;7477
Szenta;8849
Szentantalfa;8272
Szentbalázs;7472
Szentborbás;7918
Szentbékkálla;8281
Szentdomonkos;3259
Szentdénes;7913
Szente;2655
Szentegát;7915
Szentendre;2000
Szentes;6600
Szentgotthárd;9955
Szentgotthárd;9970
Szentgotthárd;9981
Szentgyörgyvár;8393
Szentgyörgyvölgy;8975
Szentgál;8444
Szentgáloskér;7465
Szentimrefalva;8475
Szentistván;3418
Szentistvánbaksa;3844
Szentjakabfa;8272
Szentkatalin;7681
Szentkirály;6031
Szentkirályszabadja;8225
Szentkozmadombja;8947
Szentliszló;8893
Szentlászló;7936
Szentlőrinc;7940
Szentlőrinckáta;2255
Szentmargitfalva;8872
Szentmártonkáta;2254
Szentpéterfa;9799
Szentpéterfölde;8953
Szentpéterszeg;4121
Szentpéterúr;8762
Szenyér;8717
Szepetnek;8861
Szerecseny;9125
Szeremle;6512
Szerencs;3900
Szerencs;3902
Szerep;4162
Szerep;4163
Szergény;9523
Szigetbecse;2321
Szigetcsép;2317
Szigethalom;2315
Szigetmonostor;2015
Szigetszentmiklós;2310
Szigetszentmárton;2318
Szigetvár;7900
Szigetújfalu;2319
Szigliget;8264
Szihalom;3377
Szijártóháza;8969
Szikszó;3800
Szil;9326
Szilaspogony;3125
Szilsárkány;9312
Szilvágy;8986
Szilvás;7811
Szilvásszentmárton;7477
Szilvásvárad;3348
Szilágy;7664
Szin;3761
Szinpetri;3761
Szirmabesenyő;3711
Szirák;3044
Szob;2628
Szokolya;2624
Szolnok;5000
Szolnok;5008
Szombathely;9700
Szombathely;9707
Szomolya;3411
Szomor;2822
Szomód;2896
Szorgalmatos;4441
Szorosad;7285
Szuha;3154
Szuhafő;3726
Szuhakálló;3731
Szuhogy;3734
Szulimán;7932
Szulok;7539
Szurdokpüspöki;3064
Szágy;7383
Szákszend;2856
Szálka;7121
Szántód;8622
Szápár;8423
Szár;2066
Szárazd;7063
Szárföld;9353
Szárliget;2067
Szárász;7188
Szászberek;5053
Szászfa;3821
Szászvár;7349
Szátok;2656
Százhalombatta;2440
Szécsisziget;8879
Szécsénke;2692
Szécsény;3170
Szécsényfelfalu;3135
Székely;4534
Székelyszabar;7737
Székesfehérvár;8000
Székesfehérvár;8019
Székkutas;6821
Szólád;8625
Szögliget;3762
Szörény;7976
Szúcs;3341
Szügy;2699
Szőc;8452
Szőce;9935
Sződ;2134
Sződliget;2133
Szőke;7833
Szőkedencs;8736
Szőkéd;7763
Szőlősardó;3757
Szőlősgyörök;8692
Szűcsi;3034
Szűr;7735
Ságvár;8654
Ságújfalu;3162
Sály;3425
Sámod;7841
Sámsonháza;3074
Sándorfalva;6762
Sántos;7479
Sáp;4176
Sárazsadány;3942
Sárbogárd;7000
Sárbogárd;7003
Sárbogárd;7018
Sárbogárd;7019
Sáregres;7014
Sárfimizdó;9813
Sárhida;8944
Sárisáp;2523
Sárkeresztes;8051
Sárkeresztúr;8125
Sárkeszi;8144
Sármellék;8391
Sárok;7781
Sárosd;2433
Sárospatak;3950
Sárpilis;7145
Sárrétudvari;4171
Sárszentlőrinc;7047
Sárszentmihály;8143
Sárszentágota;8126
Sárvár;9600
Sárvár;9608
Sárvár;9609
Sáránd;4272
Sásd;7370
Sáska;8308
Sáta;3659
Sátoraljaújhely;3944
Sátoraljaújhely;3945
Sátoraljaújhely;3980
Sátoraljaújhely;3988
Sátorhely;7785
Sávoly;8732
Sé;9789
Sénye;8788
Sényő;4533
Sérsekszőlős;8660
Sóly;8193
Sóshartyán;3131
Sóskút;2038
Sóstófalva;3716
Sósvertike;7960
Sótony;9681
Söjtör;8897
Söpte;9743
Söréd;8072
Súr;2889
Sükösd;6346
Sülysáp;2241
Sümeg;8330
Sümegcsehi;8357
Sümegprága;8351
Süttő;2543
Tab;8660
Tabajd;8088
Tabdi;6224
Tagyon;8272
Tahitótfalu;2021
Tahitótfalu;2022
Taksony;2335
Taktabáj;3926
Taktaharkány;3922
Taktakenéz;3924
Taktaszada;3921
Takácsi;8541
Taliándörögd;8295
Tamási;7090
Tanakajd;9762
Tapolca;8297
Tapolca;8300
Tapsony;8718
Tar;3073
Tarany;7514
Tarcal;3915
Tard;3416
Tardona;3644
Tardos;2834
Tarhos;5641
Tarján;2831
Tarjánpuszta;9092
Tarnabod;3369
Tarnalelesz;3258
Tarnaméra;3284
Tarnaszentmiklós;3382
Tarnaszentmária;3331
Tarnazsadány;3283
Tarnaörs;3294
Tarpa;4931
Tarrós;7362
Tass;6098
Taszár;7261
Tata;2835
Tata;2890
Tatabánya;2800
Tataháza;6451
Tatárszentgyörgy;2375
Tekenye;8793
Teklafalu;7973
Telekes;9812
Telekgerendás;5675
Teleki;8626
Telki;2089
Telkibánya;3896
Tengelic;7054
Tengeri;7834
Tengőd;8668
Tenk;3359
Terem;4342
Tereske;2652
Teresztenye;3757
Terpes;3333
Terény;2696
Teskánd;8991
Tetétlen;4184
Tevel;7181
Tibolddaróc;3423
Tiborszállás;4353
Tihany;8237
Tikos;8731
Tilaj;8782
Timár;4466
Tinnye;2086
Tiszaadony;4833
Tiszaalpár;6066
Tiszaalpár;6067
Tiszabecs;4951
Tiszabercel;4474
Tiszabezdéd;4624
Tiszabura;5235
Tiszabábolna;3465
Tiszabő;5232
Tiszacsege;4066
Tiszacsermely;3972
Tiszacsécse;4947
Tiszadada;4455
Tiszaderzs;5243
Tiszadob;4456
Tiszadorogma;3466
Tiszaeszlár;4446
Tiszaeszlár;4464
Tiszaföldvár;5430
Tiszaföldvár;5461
Tiszafüred;5350
Tiszafüred;5358
Tiszafüred;5359
Tiszagyenda;5233
Tiszagyulaháza;4097
Tiszaigar;5361
Tiszainoka;5464
Tiszajenő;5094
Tiszakanyár;4493
Tiszakarád;3971
Tiszakerecseny;4834
Tiszakeszi;3458
Tiszakécske;6060
Tiszakécske;6062
Tiszakóród;4946
Tiszakürt;5471
Tiszaladány;3929
Tiszalök;4447
Tiszalök;4450
Tiszalúc;3565
Tiszamogyorós;4645
Tiszanagyfalu;4463
Tiszanána;3385
Tiszapalkonya;3587
Tiszapüspöki;5211
Tiszaroff;5234
Tiszarád;4503
Tiszasas;5474
Tiszaszalka;4831
Tiszaszentimre;5322
Tiszaszentimre;5323
Tiszaszentmárton;4628
Tiszasziget;6756
Tiszaszőlős;5244
Tiszasüly;5061
Tiszatardos;3928
Tiszatarján;3589
Tiszatelek;4486
Tiszatelek;4487
Tiszatenyő;5082
Tiszaug;6064
Tiszavalk;3464
Tiszavasvári;4440
Tiszavid;4832
Tiszavárkony;5092
Tiszavárkony;5095
Tiszaörs;5362
Tiszaújváros;3580
Tisztaberek;4969
Tivadar;4921
Tokaj;3910
Tokod;2531
Tokodaltáró;2532
Tokorcs;9561
Tolcsva;3934
Told;4117
Tolmács;2657
Tolna;7130
Tolna;7131
Tolnanémedi;7083
Tomajmonostora;5324
Tomor;3787
Tompa;6422
Tompaládony;9662
Tordas;2463
Tormafölde;8876
Tormás;7383
Tormásliget;9736
Tornabarakony;3765
Tornakápolna;3761
Tornanádaska;3767
Tornaszentandrás;3765
Tornaszentjakab;3769
Tornyiszentmiklós;8877
Tornyosnémeti;3877
Tornyospálca;4642
Torony;9791
Torvaj;8660
Trizs;3724
Tunyogmatolcs;4731
Tura;2194
Tuzsér;4623
Tyukod;4762
Táborfalva;2381
Tác;8121
Tákos;4845
Tállya;3907
Táp;9095
Tápióbicske;2764
Tápiógyörgye;2767
Tápiószecső;2251
Tápiószele;2766
Tápiószentmárton;2711
Tápiószőlős;2769
Tápióság;2253
Táplánszentkereszt;9761
Tápszentmiklós;9094
Tárkány;2943
Tárkány;2945
Tárnok;2461
Tárnokréti;9165
Táska;8696
Tát;2534
Tázlár;6236
Téglás;4243
Tékes;7381
Tényő;9111
Tépe;4132
Tés;8109
Tésa;2636
Tésenfa;7843
Téseny;7834
Tét;9100
Tóalmás;2252
Tófalu;3354
Tófej;8946
Tófű;7348
Tószeg;5091
Tótkomlós;5940
Tótszentgyörgy;7981
Tótszentmárton;8865
Tótszerdahely;8864
Tótvázsony;8246
Tótújfalu;7918
Tök;2073
Tököl;2316
Töltéstava;9086
Tömörd;9738
Tömörkény;6646
Törtel;2747
Törökbálint;2045
Törökkoppány;7285
Törökszentmiklós;5200
Törökszentmiklós;5212
Töttös;7755
Túristvándi;4944
Túrkeve;5420
Túrony;7811
Túrricse;4968
Türje;8796
Tüskevár;8477
Udvar;7718
Udvari;7066
Ugod;8564
Ukk;8347
Und;9464
Uppony;3622
Ura;4763
Uraiújfalu;9651
Uszka;4952
Uszód;6332
Uzsa;8321
Vadna;3636
Vadosfa;9346
Vaja;4562
Vajdácska;3961
Vajszló;7838
Vajta;7041
Valkonya;8885
Valkó;2114
Vanyarc;2688
Vanyola;8552
Varbó;3778
Varbóc;3756
Varga;7370
Varsád;7067
Varsány;3178
Varászló;8723
Vasad;2211
Vasalja;9921
Vasasszonyfa;9744
Vasboldogasszony;8914
Vasegerszeg;9661
Vashosszúfalu;9674
Vaskeresztes;9795
Vaskút;6521
Vasmegyer;4502
Vaspör;8998
Vassurány;9741
Vasszentmihály;9953
Vasszilvágy;9747
Vasszécseny;9763
Vasvár;9800
Vaszar;8542
Vatta;3431
Vecsés;2220
Vejti;7838
Vekerd;4143
Velem;9726
Velemér;9946
Velence;2481
Velény;7951
Vereb;2477
Veresegyház;2112
Verpelét;3351
Verseg;2174
Versend;7752
Verőce;2621
Veszkény;9352
Veszprém;8200
Veszprém;8411
Veszprém;8412
Veszprémfajsz;8248
Veszprémgalsa;8475
Veszprémvarsány;8438
Vezseny;5093
Vid;8484
Vigántpetend;8294
Villány;7773
Villánykövesd;7772
Vilmány;3891
Vilonya;8194
Vilyvitány;3991
Vindornyafok;8354
Vindornyalak;8353
Vindornyaszőlős;8355
Vinár;9534
Visegrád;2025
Visegrád;2026
Visnye;7533
Visonta;3271
Visonta;3272
Viss;3956
Visz;8681
Viszló;3825
Visznek;3293
Viszák;9932
Vitnyéd;9371
Vizslás;3128
Vizsoly;3888
Vokány;7768
Vonyarcvashegy;8314
Vác;2600
Vácduka;2167
Vácegres;2184
Váchartyán;2164
Váckisújfalu;2185
Vácrátót;2163
Vácszentlászló;2115
Vág;9327
Vágáshuta;3992
Vál;2473
Vállaj;4351
Vállus;8316
Vámosatya;4936
Vámoscsalád;9665
Vámosgyörk;3291
Vámosmikola;2635
Vámosoroszi;4966
Vámospércs;4287
Vámosszabadi;9061
Vámosszabadi;9064
Vámosújfalu;3941
Váncsod;4119
Várad;7973
Váralja;7354
Váraszó;3254
Várbalog;9243
Várda;7442
Várdomb;7146
Várfölde;8891
Várgesztes;2824
Várkesző;8523
Várong;7214
Városföld;6033
Városlőd;8445
Várpalota;8100
Várvölgy;8316
Vászoly;8245
Vásárosbéc;7926
Vásárosdombó;7362
Vásárosfalu;9343
Vásárosmiske;9552
Vásárosnamény;4800
Vásárosnamény;4803
Vásárosnamény;4804
Vát;9748
Vázsnok;7370
Vécs;3265
Végegyháza;5811
Vékény;7333
Véménd;7726
Vének;9062
Vép;9751
Vértesacsa;8089
Vértesboglár;8085
Vérteskethely;2859
Vértessomló;2823
Vértesszőlős;2837
Vértestolna;2833
Vése;8721
Vésztő;5530
Vízvár;7588
Vöckönd;8931
Völcsej;9462
Vönöck;9516
Vörs;8711
Vöröstó;8291
Zabar;3124
Zagyvarékas;5051
Zagyvaszántó;3031
Zajk;8868
Zajta;4974
Zala;8660
Zalaapáti;8741
Zalabaksa;8971
Zalaboldogfa;8992
Zalabér;8798
Zalacsány;8782
Zalacséb;8996
Zalaegerszeg;8900
Zalaegerszeg;8904
Zalaerdőd;8344
Zalagyömörő;8349
Zalahaláp;8308
Zalaháshágy;8997
Zalaigrice;8761
Zalaistvánd;8932
Zalakaros;8749
Zalakomár;8751
Zalakomár;8752
Zalaköveskút;8354
Zalalövő;8999
Zalameggyes;8348
Zalamerenye;8747
Zalaszabar;8743
Zalaszegvár;8476
Zalaszentbalázs;8772
Zalaszentgrót;8785
Zalaszentgrót;8789
Zalaszentgrót;8790
Zalaszentgrót;8795
Zalaszentgyörgy;8994
Zalaszentiván;8921
Zalaszentjakab;8827
Zalaszentlászló;8788
Zalaszentlőrinc;8921
Zalaszentmihály;8936
Zalaszentmárton;8764
Zalaszombatfa;8969
Zalaszántó;8353
Zalasárszeg;8756
Zalatárnok;8947
Zalavár;8392
Zalavég;8792
Zalaújlak;8822
Zalkod;3957
Zaláta;7839
Zamárdi;8621
Zaránk;3296
Zebecke;8957
Zebegény;2627
Zemplénagárd;3977
Zengővárkony;7720
Zichyújfalu;8112
Zics;8672
Ziliz;3794
Zimány;7471
Zirc;8420
Zomba;7173
Zsadány;5537
Zsana;6411
Zsarolyán;4961
Zsebeháza;9346
Zselickisfalud;7477
Zselickislak;7400
Zselicszentpál;7474
Zsennye;9766
Zsira;9476
Zsombó;6792
Zsujta;3897
Zsurk;4627
Zsáka;4142
Zsámbok;2116
Zsámbék;2072
Zsédeny;9635
Zubogy;3723
Zádor;7976
Zádorfalva;3726
Záhony;4625
Zákány;8852
Zákányfalu;8853
Zákányszék;6787
Zámoly;8081
Zánka;8251
Závod;7182
Zók;7671
Ábrahámhegy;8256
Ács;2941
Ácsteszér;2887
Ádánd;8653
Ág;7381
Ágasegyháza;6076
Ágfalva;9423
Álmosd;4285
Áporka;2338
Ároktő;3467
Árpádhalom;6623
Árpás;9132
Ártánd;4115
Ásotthalom;6783
Ásványráró;9177
Ászár;2881
Áta;7763
Átány;3371
Écs;9083
Égerszög;3757
Érd;2030
Érpatak;4245
Érsekcsanád;6347
Érsekhalma;6348
Érsekvadkert;2659
Értény;7093
Óbarok;2063
Óbudavár;8272
Óbánya;7695
Ócsa;2364
Ócsárd;7814
Ófalu;7695
Ófehértó;4558
Óföldeák;6923
Óhíd;8342
Ólmod;9733
Ónod;3551
Ópusztaszer;6767
Ópályi;4821
Ózd;3600
Ózd;3604
Ózd;3621
Ózd;3625
Ózd;3651
Ózd;3661
Ózd;3662
Ózdfalu;7836
Öcs;8292
Öcsöd;5451
Ököritófülpös;4755
Ölbő;9621
Ömböly;4373
Öregcsertő;6311
Öreglak;8697
Örkény;2377
Örményes;5222
Örménykút;5556
Örvényes;8242
Öskü;8191
Öttevény;9153
Öttömös;6784
Ötvöskónyi;7511
Újbarok;2066
Újcsanálos;3716
Újdombrád;4491
Újfehértó;4244
Újhartyán;2367
Újireg;7095
Újiráz;4146
Újkenéz;4635
Újkér;9472
Újkígyós;5661
Újlengyel;2724
Újléta;4288
Újlőrincfalva;3387
Újpetre;7766
Újrónafő;9244
Újsolt;6321
Újszalonta;5727
Újszentiván;6754
Újszentmargita;4065
Újszilvás;2768
Újszász;5052
Újtelek;6337
Újtikos;4096
Újudvar;8778
Újvárfalva;7436
Úny;2528
Úrhida;8142
Úri;2244
Úrkút;8409
Üllés;6794
Üllő;2225
Üröm;2096
Őcsény;7143
Őr;4336
Őrbottyán;2162
Őrhalom;2671
Őrimagyarósd;9933
Őriszentpéter;9941
Őrtilos;8854
Ősagárd;2610
Ősi;8161
